Lokasi,pH,BOD_mg_L,COD_mg_L,TSS_mg_L,Suhu_C,Status_Mutu_Air
Muara 1,6.6,7.7,47,130,32,Tercemar
Danau 2,7.8,6.5,10,72,25,Tercemar
Muara 3,7.6,6.3,37,106,30,Tercemar
Sumur 4,8,2.6,28,35,31,Baik
Kali 5,6.8,5.6,10,31,29,Tercemar
Sungai 6,8,7.9,49,91,26,Tercemar
Pantai 7,7.3,7.2,54,97,26,Tercemar
Waduk 8,7.3,6.3,45,122,26,Tercemar
Muara 9,6.1,4.5,22,93,25,Sedang
Muara 10,7.8,3.8,37,147,26,Sedang
Danau 11,7.5,5.4,39,67,30,Tercemar
Sumur 12,6.7,7.9,39,43,32,Tercemar
Muara 13,7.8,2.3,47,62,29,Baik
Pantai 14,6.8,5.3,37,32,28,Tercemar
Waduk 15,6.4,2.6,49,27,30,Baik
Waduk 16,6.8,1.8,51,41,27,Baik
Kali 17,6.4,8,16,149,27,Tercemar
Muara 18,7.8,3.2,55,89,27,Sedang
Waduk 19,7.5,1.2,10,83,30,Baik
Sumur 20,7.5,8,57,50,31,Tercemar
Muara 21,6.3,1.3,12,24,29,Baik
IPAL 22,7.2,1.8,48,62,27,Baik
IPAL 23,6.1,5.6,24,90,32,Tercemar
Muara 24,7.3,7.9,41,53,25,Tercemar
Muara 25,7.5,1.8,28,20,26,Baik
Sungai 26,6.8,5.6,28,122,32,Tercemar
Danau 27,6,7.2,22,124,27,Tercemar
Danau 28,7.5,5.5,59,93,26,Tercemar
Sungai 29,7.9,5.1,48,22,32,Tercemar
IPAL 30,6.5,3.8,26,38,28,Sedang
IPAL 31,7.7,6.8,31,78,29,Tercemar
Sumur 32,6.6,4.2,29,139,30,Sedang
Sumur 33,7.5,5,56,32,31,Sedang
IPAL 34,7.8,7.5,48,55,25,Tercemar
Danau 35,7.4,1.2,37,69,25,Baik
Sungai 36,6.6,2.4,21,77,25,Baik
Waduk 37,7.3,6.4,27,132,28,Tercemar
Pantai 38,7,5.2,24,45,28,Tercemar
Sumur 39,7.8,4.4,35,133,32,Sedang
Danau 40,7.7,5.1,51,130,27,Tercemar
Sumur 41,6,7.8,16,138,30,Tercemar
Pantai 42,6.5,7.6,55,112,30,Tercemar
Danau 43,7.2,4.4,41,86,27,Sedang
Danau 44,7.6,2.8,40,129,28,Baik
Waduk 45,7.1,3.9,24,88,25,Sedang
Sumur 46,7.7,5.2,30,133,28,Tercemar
Pantai 47,6.6,1.4,20,87,32,Baik
Sungai 48,6.2,4.5,11,65,32,Sedang
Kali 49,6.7,1.5,41,120,30,Baik
Sumur 50,7.3,6.3,51,86,31,Tercemar
