Lokasi,pH,BOD_mg_L,COD_mg_L,TSS_mg_L,Suhu_C,Status_Mutu_Air,Kategori_Suhu
Muara 1,6.6,7.7,47,130,32,Tercemar,Tinggi
Danau 2,7.8,6.5,10,72,25,Tercemar,Normal
Muara 3,7.6,6.3,37,106,30,Tercemar,Tinggi
Sumur 4,8.0,2.6,28,35,31,Baik,Tinggi
Kali 5,6.8,5.6,10,31,29,Tercemar,Tinggi
Sungai 6,8.0,7.9,49,91,26,Tercemar,Normal
Pantai 7,7.3,7.2,54,97,26,Tercemar,Normal
Waduk 8,7.3,6.3,45,122,26,Tercemar,Normal
Muara 9,6.1,4.5,22,93,25,Sedang,Normal
Muara 10,7.8,3.8,37,147,26,Sedang,Normal
Danau 11,7.5,5.4,39,67,30,Tercemar,Tinggi
Sumur 12,6.7,7.9,39,43,32,Tercemar,Tinggi
Muara 13,7.8,2.3,47,62,29,Baik,Tinggi
Pantai 14,6.8,5.3,37,32,28,Tercemar,Normal
Waduk 15,6.4,2.6,49,27,30,Baik,Tinggi
Waduk 16,6.8,1.8,51,41,27,Baik,Normal
Kali 17,6.4,8.0,16,149,27,Tercemar,Normal
Muara 18,7.8,3.2,55,89,27,Sedang,Normal
Waduk 19,7.5,1.2,10,83,30,Baik,Tinggi
Sumur 20,7.5,8.0,57,50,31,Tercemar,Tinggi
Muara 21,6.3,1.3,12,24,29,Baik,Tinggi
IPAL 22,7.2,1.8,48,62,27,Baik,Normal
IPAL 23,6.1,5.6,24,90,32,Tercemar,Tinggi
Muara 24,7.3,7.9,41,53,25,Tercemar,Normal
Muara 25,7.5,1.8,28,20,26,Baik,Normal
Sungai 26,6.8,5.6,28,122,32,Tercemar,Tinggi
Danau 27,6.0,7.2,22,124,27,Tercemar,Normal
Danau 28,7.5,5.5,59,93,26,Tercemar,Normal
Sungai 29,7.9,5.1,48,22,32,Tercemar,Tinggi
IPAL 30,6.5,3.8,26,38,28,Sedang,Normal
IPAL 31,7.7,6.8,31,78,29,Tercemar,Tinggi
Sumur 32,6.6,4.2,29,139,30,Sedang,Tinggi
Sumur 33,7.5,5.0,56,32,31,Sedang,Tinggi
IPAL 34,7.8,7.5,48,55,25,Tercemar,Normal
Danau 35,7.4,1.2,37,69,25,Baik,Normal
Sungai 36,6.6,2.4,21,77,25,Baik,Normal
Waduk 37,7.3,6.4,27,132,28,Tercemar,Normal
Pantai 38,7.0,5.2,24,45,28,Tercemar,Normal
Sumur 39,7.8,4.4,35,133,32,Sedang,Tinggi
Danau 40,7.7,5.1,51,130,27,Tercemar,Normal
Sumur 41,6.0,7.8,16,138,30,Tercemar,Tinggi
Pantai 42,6.5,7.6,55,112,30,Tercemar,Tinggi
Danau 43,7.2,4.4,41,86,27,Sedang,Normal
Danau 44,7.6,2.8,40,129,28,Baik,Normal
Waduk 45,7.1,3.9,24,88,25,Sedang,Normal
Sumur 46,7.7,5.2,30,133,28,Tercemar,Normal
Pantai 47,6.6,1.4,20,87,32,Baik,Tinggi
Sungai 48,6.2,4.5,11,65,32,Sedang,Tinggi
Kali 49,6.7,1.5,41,120,30,Baik,Tinggi
Sumur 50,7.3,6.3,51,86,31,Tercemar,Tinggi
